work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,salary_group
2020,MI,FT,Data Scientist,DE,0,DE,L,M
2020,SE,FT,Machine Learning Scientist,JP,0,JP,S,H
2020,SE,FT,Big Data Engineer,GB,50,GB,M,M
2020,MI,FT,Product Data Analyst,HN,0,HN,S,L
2020,SE,FT,Machine Learning Engineer,US,50,US,L,H
2020,EN,FT,Data Analyst,US,100,US,L,L
2020,SE,FT,Lead Data Scientist,US,100,US,S,H
2020,MI,FT,Data Scientist,HU,50,HU,L,L
2020,MI,FT,Business Data Analyst,US,100,US,L,H
2020,SE,FT,Lead Data Engineer,NZ,50,NZ,S,M
2020,EN,FT,Data Scientist,FR,0,FR,S,L
2020,MI,FT,Data Scientist,IN,0,IN,L,L
2020,EN,FT,Data Scientist,FR,0,FR,M,L
2020,MI,FT,Lead Data Analyst,US,100,US,L,M
2020,MI,FT,Data Analyst,US,100,US,L,M
2020,MI,FT,Data Analyst,PK,50,PK,L,L
2020,EN,FT,Data Engineer,JP,100,JP,S,L
2020,SE,FT,Big Data Engineer,PL,100,GB,S,M
2020,EN,FT,Data Science Consultant,IN,50,IN,M,L
2020,MI,FT,Lead Data Engineer,PT,100,US,M,L
2020,MI,FT,Machine Learning Engineer,CN,0,CN,M,L
2020,MI,FT,Product Data Analyst,IN,100,IN,L,L
2020,SE,FT,Data Engineer,GR,50,GR,L,L
2020,MI,FT,BI Data Analyst,US,0,US,M,M
2020,MI,FT,Lead Data Scientist,AE,0,AE,L,M
2020,EX,FT,Director of Data Science,US,100,US,L,H
2020,EN,FT,Research Scientist,NL,50,NL,L,L
2020,SE,FT,Data Engineer,MX,0,MX,S,L
2020,EN,CT,Business Data Analyst,US,100,US,L,M
2020,SE,FT,Machine Learning Manager,CA,50,CA,L,M
2020,MI,FT,Data Engineering Manager,DE,100,DE,S,L
2020,EN,FT,Big Data Engineer,US,100,US,L,L
2020,SE,FT,Data Scientist,GR,100,US,L,L
2020,MI,FT,Research Scientist,US,0,US,M,H
2020,MI,FT,Data Analyst,FR,50,FR,L,L
2020,MI,FT,Data Engineer,AT,50,AT,L,M
2020,MI,FT,Data Science Consultant,US,100,US,L,M
2020,EN,FT,Machine Learning Engineer,US,50,US,L,H
2020,EN,FT,Data Analyst,NG,100,NG,S,L
2020,EN,FT,Machine Learning Engineer,US,100,US,S,H
2020,MI,FT,Data Scientist,PH,100,US,S,L
2020,EX,FT,Data Engineering Manager,ES,50,ES,L,M
2020,MI,FT,Machine Learning Infrastructure Engineer,PT,0,PT,M,L
2020,MI,FT,Data Engineer,US,100,US,L,M
2020,MI,FT,Data Engineer,GB,50,GB,L,M
2020,EN,PT,ML Engineer,DE,100,DE,S,L
2020,MI,FT,Data Scientist,GB,100,GB,S,M
2020,SE,FT,Data Engineer,US,100,US,L,H
2020,MI,FT,Data Scientist,US,100,US,L,M
2020,MI,FT,Data Engineer,FR,50,FR,L,L
2020,EN,FT,Data Analyst,IN,0,IN,S,L
2020,EN,FT,Data Analyst,US,100,US,L,M
2020,EN,FT,AI Scientist,DK,50,DK,S,L
2020,EN,FT,Data Engineer,PK,100,DE,L,L
2020,SE,FL,Computer Vision Engineer,RU,100,US,S,L
2020,SE,FT,Principal Data Scientist,DE,100,DE,M,H
2020,MI,FT,Data Scientist,ES,100,ES,M,L
2020,MI,FT,Data Scientist,US,100,US,M,M
2020,SE,FT,Data Scientist,US,50,US,L,M
2020,MI,FT,Data Scientist,US,100,US,M,H
2020,MI,FT,Data Engineer,US,100,US,L,M
2020,MI,FT,Data Engineer,ES,100,US,M,H
2020,EN,PT,Data Scientist,IT,50,IT,S,L
2020,SE,FT,Data Scientist,US,100,US,L,H
2020,SE,FT,Machine Learning Engineer,HR,100,HR,S,L
2020,EN,FT,Data Scientist,DE,50,DE,S,L
2020,EN,FT,Data Scientist,DE,0,DE,S,L
2020,SE,FT,Data Science Manager,US,100,US,M,H
2020,EN,FT,Data Scientist,US,100,US,S,M
2020,SE,FT,Data Scientist,AT,0,AT,S,M
2020,MI,FT,Data Scientist,FR,50,LU,S,L
2020,MI,FT,Data Scientist,FR,50,FR,S,L
2021,EN,FT,Research Scientist,GB,50,GB,L,M
2021,EX,FT,BI Data Analyst,IN,100,US,L,H
2021,EX,FT,Head of Data,US,100,US,L,H
2021,SE,FT,Data Scientist,FR,50,FR,L,L
2021,MI,FT,BI Data Analyst,US,100,US,M,M
2021,MI,PT,3D Computer Vision Researcher,IN,50,IN,M,L
2021,MI,CT,ML Engineer,US,100,US,L,H
2021,EN,FT,Data Analyst,US,100,US,M,M
2021,SE,FT,Data Analytics Engineer,DE,100,DE,L,M
2021,MI,FT,Data Engineer,US,100,US,L,H
2021,MI,FT,Applied Data Scientist,GB,50,CA,L,L
2021,MI,FT,Machine Learning Engineer,ES,100,ES,S,L
2021,EX,FT,Director of Data Science,IT,100,PL,L,H
2021,MI,FT,Data Engineer,PL,100,PL,L,L
2021,EN,FT,Data Analyst,FR,50,FR,M,L
2021,MI,FT,Data Analytics Engineer,US,100,US,L,M
2021,SE,FT,Lead Data Analyst,US,100,US,L,H
2021,SE,FT,Data Analyst,BG,100,US,S,M
2021,SE,FT,Marketing Data Analyst,GR,100,DK,L,M
2021,EN,FT,Data Science Consultant,DE,100,DE,S,M
2021,MI,FT,Lead Data Analyst,IN,100,IN,L,L
2021,SE,FT,Lead Data Engineer,US,0,US,L,H
2021,EN,FT,Data Scientist,IN,50,IN,L,L
2021,MI,FT,Cloud Data Engineer,SG,50,SG,L,M
2021,EN,PT,AI Scientist,BR,100,US,S,L
2021,MI,FT,Financial Data Analyst,US,100,US,L,H
2021,EN,FT,Computer Vision Software Engineer,US,100,US,M,L
2021,MI,FT,Computer Vision Software Engineer,DE,100,US,S,M
2021,MI,FT,Data Analyst,US,0,US,L,M
2021,SE,FT,Data Engineer,US,100,US,L,H
2021,MI,FT,BI Data Analyst,HU,50,US,L,L
2021,MI,FT,Data Analyst,US,0,US,L,L
2021,MI,FT,Data Scientist,US,0,US,L,L
2021,MI,FT,Data Analyst,GB,50,GB,L,L
2021,MI,FT,Research Scientist,CA,100,CA,L,H
2021,SE,FT,Data Engineer,US,100,US,S,M
2021,SE,FT,Data Engineer,US,100,US,M,H
2021,EN,FT,Data Engineer,IN,100,IN,L,L
2021,SE,FT,Machine Learning Engineer,DE,50,DE,L,M
2021,SE,FT,Director of Data Engineering,GB,100,GB,M,M
2021,SE,FT,Lead Data Engineer,GB,100,GB,S,M
2021,EN,PT,AI Scientist,PK,100,US,M,L
2021,MI,FT,Data Engineer,NL,100,NL,L,L
2021,EN,FT,Machine Learning Scientist,US,100,US,L,H
2021,MI,FT,Data Scientist,NG,100,NG,L,L
2021,MI,FT,Data Science Engineer,GR,100,GR,M,L
2021,EN,FT,Data Analyst,US,100,US,S,M
2021,MI,FT,Data Engineer,US,100,US,L,H
2021,MI,FT,Big Data Engineer,ES,50,RO,M,L
2021,SE,FT,Principal Data Engineer,US,100,US,M,H
2021,EN,FT,Data Analyst,US,100,US,M,L
2021,EN,FT,Applied Data Scientist,GB,0,GB,L,M
2021,EN,PT,Data Analyst,ES,50,ES,M,L
2021,MI,FT,Principal Data Scientist,US,100,US,L,H
2021,SE,FT,Machine Learning Scientist,US,50,US,S,M
2021,MI,FT,Data Scientist,IN,0,IN,S,L
2021,EN,FT,Machine Learning Engineer,IN,100,IN,S,L
2021,SE,FT,Lead Data Scientist,IN,50,IN,L,L
2021,EN,FT,Machine Learning Developer,IQ,50,IQ,S,M
2021,EN,FT,Data Scientist,FR,50,FR,M,L
2021,MI,FT,Applied Machine Learning Scientist,VN,100,US,M,L
2021,SE,FT,Computer Vision Engineer,BR,100,BR,M,L
2021,EN,FT,Data Scientist,US,0,US,S,M
2021,MI,FT,Data Analyst,US,100,US,M,M
2021,MI,FT,ML Engineer,JP,50,JP,S,L
2021,MI,FT,ML Engineer,JP,50,JP,S,M
2021,SE,FT,Principal Data Scientist,US,0,US,L,H
2021,EN,FT,Data Scientist,US,100,US,M,M
2021,MI,FT,Data Analyst,US,100,US,L,H
2021,SE,FT,Data Science Manager,US,0,US,L,H
2021,SE,FT,Data Engineering Manager,US,0,US,L,H
2021,MI,FT,Data Scientist,US,100,US,S,M
2021,MI,FT,Data Engineer,US,100,US,L,M
2021,SE,FT,Machine Learning Engineer,BE,50,BE,M,M
2021,MI,FT,Research Scientist,FR,50,FR,M,L
2021,MI,FT,Data Engineer,US,100,US,L,M
2021,SE,FT,Data Engineering Manager,US,100,US,L,H
2021,SE,FT,Cloud Data Engineer,BR,100,US,S,H
2021,SE,FT,Director of Data Science,JP,0,JP,S,H
2021,MI,FT,Data Scientist,US,100,US,M,H
2021,MI,FT,Data Scientist,CA,100,CA,L,M
2021,EN,FT,Data Scientist,UA,100,UA,L,L
2021,SE,FT,Data Science Manager,US,100,US,L,H
2021,SE,FT,Data Science Engineer,CA,50,CA,L,M
2021,MI,FT,Data Scientist,SG,100,IL,M,M
2021,MI,FT,Applied Machine Learning Scientist,US,50,US,L,H
2021,SE,FT,Data Analytics Manager,US,100,US,M,M
2021,EN,FT,Machine Learning Engineer,US,100,US,S,M
2021,EX,FT,Head of Data,RU,50,RU,L,H
2021,EX,FT,Head of Data Science,RU,0,RU,M,M
2021,MI,FT,Data Engineer,MT,50,MT,L,L
2021,EN,FT,Data Science Consultant,DE,50,DE,L,L
2021,EX,FT,Director of Data Science,DE,50,DE,M,H
2021,SE,FT,Data Specialist,US,100,US,L,H
2021,EN,FT,Data Engineer,US,100,US,L,M
2021,EX,FT,Director of Data Science,US,0,US,L,H
2021,EN,FT,BI Data Analyst,US,50,US,S,L
2021,MI,FT,Data Architect,US,100,US,L,H
2021,MI,FT,Data Architect,US,100,US,L,H
2021,MI,FT,Data Engineer,GB,100,GB,L,M
2021,EN,FT,Data Analyst,US,100,US,S,L
2021,SE,FT,Principal Data Scientist,US,100,US,L,H
2021,SE,FT,Research Scientist,PT,50,PT,L,L
2021,SE,FT,Data Engineering Manager,US,100,US,L,H
2021,MI,FT,Data Scientist,MX,0,MX,S,L
2021,MI,FT,Data Scientist,CL,100,CL,L,L
2021,EN,FT,Machine Learning Engineer,US,50,US,S,M
2021,MI,FT,Data Scientist,IN,100,US,S,L
2021,MI,FT,Big Data Engineer,IN,0,IN,L,L
