work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,salary_in_usd,salary_group,nd_work_year,nd_experience_level,nd_employment_type,nd_job_title,nd_employee_residence,nd_remote_ratio,nd_company_location,nd_company_size
2020,MI,FT,Data Scientist,DE,0,DE,L,79833,M,0,0.189836079,0.519729373,0.245068968,0.414982993,0.625941503,0.505273978,1
2020,SE,FT,Machine Learning Scientist,JP,0,JP,S,260000,H,0,0.557040111,0.519729373,0.382900266,0.507845481,0.625941503,0.717441911,0
2020,SE,FT,Big Data Engineer,GB,50,GB,M,109024,M,0,0.557040111,0.519729373,0.116531654,0.395255458,0,0.505859935,0.915551539
2020,MI,FT,Product Data Analyst,HN,0,HN,S,20000,L,0,0.189836079,0.519729373,0.019087016,0.081632653,0.625941503,0.104234528,0
2020,SE,FT,Machine Learning Engineer,US,50,US,L,150000,H,0,0.557040111,0.519729373,0.239635348,0.745382238,0,0.913960871,1
2020,EN,FT,Data Analyst,US,100,US,L,72000,L,0,0,0.519729373,0.21191818,0.745382238,1,0.913960871,1
2020,SE,FT,Lead Data Scientist,US,100,US,S,190000,H,0,0.557040111,0.519729373,0.274733415,0.745382238,1,0.913960871,0
2020,MI,FT,Data Scientist,HU,50,HU,L,35735,L,0,0.189836079,0.519729373,0.245068968,0.16325,0,0.206742671,1
2020,MI,FT,Business Data Analyst,US,100,US,L,135000,H,0,0.189836079,0.519729373,0.178387902,0.745382238,1,0.913960871,1
2020,SE,FT,Lead Data Engineer,NZ,50,NZ,S,125000,M,0,0.557040111,0.519729373,0.336132445,0.617346939,0,0.788273616,0
2020,EN,FT,Data Scientist,FR,0,FR,S,51321,L,0,0,0.519729373,0.245068968,0.285135771,0.625941503,0.390688382,0
2020,MI,FT,Data Scientist,IN,0,IN,L,40481,L,0,0.189836079,0.519729373,0.245068968,0.170011905,0.625941503,0.160141694,1
2020,EN,FT,Data Scientist,FR,0,FR,M,39916,L,0,0,0.519729373,0.245068968,0.285135771,0.625941503,0.390688382,0.915551539
2020,MI,FT,Lead Data Analyst,US,100,US,L,87000,M,0,0.189836079,0.519729373,0.217207094,0.745382238,1,0.913960871,1
2020,MI,FT,Data Analyst,US,100,US,L,85000,M,0,0.189836079,0.519729373,0.21191818,0.745382238,1,0.913960871,1
2020,MI,FT,Data Analyst,PK,50,PK,L,8000,L,0,0.189836079,0.519729373,0.21191818,0.119708333,0,0.060803474,1
2020,EN,FT,Data Engineer,JP,100,JP,S,41689,L,0,0,0.519729373,0.261119577,0.507845481,1,0.717441911,0
2020,SE,FT,Big Data Engineer,PL,100,GB,S,114047,M,0,0.557040111,0.519729373,0.116531654,0.266211735,1,0.505859935,0
2020,EN,FT,Data Science Consultant,IN,50,IN,M,5707,L,0,0,0.519729373,0.160193083,0.170011905,0,0.160141694,0.915551539
2020,MI,FT,Lead Data Engineer,PT,100,US,M,56000,L,0,0.189836079,0.519729373,0.336132445,0.198278061,1,0.913960871,0.915551539
2020,MI,FT,Machine Learning Engineer,CN,0,CN,M,43331,L,0,0.189836079,0.519729373,0.239635348,0.200668367,0.625941503,0.44081759,0.915551539
2020,MI,FT,Product Data Analyst,IN,100,IN,L,6072,L,0,0.189836079,0.519729373,0.019087016,0.170011905,1,0.160141694,1
2020,SE,FT,Data Engineer,GR,50,GR,L,47899,L,0,0.557040111,0.519729373,0.261119577,0.267580357,0,0.312877524,1
2020,MI,FT,BI Data Analyst,US,0,US,M,98000,M,0,0.189836079,0.519729373,0.173542864,0.745382238,0.625941503,0.913960871,0.915551539
2020,MI,FT,Lead Data Scientist,AE,0,AE,L,115000,M,0,0.189836079,0.519729373,0.274733415,0.489795918,0.625941503,0.625407166,1
2020,EX,FT,Director of Data Science,US,100,US,L,325000,H,0,1,0.519729373,0.474647827,0.745382238,1,0.913960871,1
2020,EN,FT,Research Scientist,NL,50,NL,L,42000,L,0,0,0.519729373,0.259291375,0.290594898,0,0.331894137,1
2020,SE,FT,Data Engineer,MX,0,MX,S,33511,L,0,0.557040111,0.519729373,0.261119577,0.072372449,0.625941503,0.183213898,0
2020,EN,CT,Business Data Analyst,US,100,US,L,100000,M,0,0,1,0.178387902,0.745382238,1,0.913960871,1
2020,SE,FT,Machine Learning Manager,CA,50,CA,L,117104,M,0,0.557040111,0.519729373,0.279523313,0.475467498,0,0.626201024,1
2020,MI,FT,Data Engineering Manager,DE,100,DE,S,59303,L,0,0.189836079,0.519729373,0.294846981,0.414982993,1,0.505273978,0
2020,EN,FT,Big Data Engineer,US,100,US,L,70000,L,0,0,0.519729373,0.116531654,0.745382238,1,0.913960871,1
2020,SE,FT,Data Scientist,GR,100,US,L,68428,L,0,0.557040111,0.519729373,0.245068968,0.267580357,1,0.913960871,1
2020,MI,FT,Research Scientist,US,0,US,M,450000,H,0,0.189836079,0.519729373,0.259291375,0.745382238,0.625941503,0.913960871,0.915551539
2020,MI,FT,Data Analyst,FR,50,FR,L,46759,L,0,0.189836079,0.519729373,0.21191818,0.285135771,0,0.390688382,1
2020,MI,FT,Data Engineer,AT,50,AT,L,74130,M,0,0.189836079,0.519729373,0.261119577,0.371115646,0,0.448995114,1
2020,MI,FT,Data Science Consultant,US,100,US,L,103000,M,0,0.189836079,0.519729373,0.160193083,0.745382238,1,0.913960871,1
2020,EN,FT,Machine Learning Engineer,US,50,US,L,250000,H,0,0,0.519729373,0.239635348,0.745382238,0,0.913960871,1
2020,EN,FT,Data Analyst,NG,100,NG,S,10000,L,0,0,0.519729373,0.21191818,0.132653061,1,0.169381107,0
2020,EN,FT,Machine Learning Engineer,US,100,US,S,138000,H,0,0,0.519729373,0.239635348,0.745382238,1,0.913960871,0
2020,MI,FT,Data Scientist,PH,100,US,S,45760,L,0,0.189836079,0.519729373,0.245068968,0.213061224,1,0.913960871,0
2020,EX,FT,Data Engineering Manager,ES,50,ES,L,79833,M,0,1,0.519729373,0.294846981,0.273435714,0,0.319610051,1
2020,MI,FT,Machine Learning Infrastructure Engineer,PT,0,PT,M,50180,L,0,0.189836079,0.519729373,0.239584976,0.198278061,0.625941503,0.285301303,0.915551539
2020,MI,FT,Data Engineer,US,100,US,L,106000,M,0,0.189836079,0.519729373,0.261119577,0.745382238,1,0.913960871,1
2020,MI,FT,Data Engineer,GB,50,GB,L,112872,M,0,0.189836079,0.519729373,0.261119577,0.395255458,0,0.505859935,1
2020,EN,PT,ML Engineer,DE,100,DE,S,15966,L,0,0,0,0.280524336,0.414982993,1,0.505273978,0
2020,MI,FT,Data Scientist,GB,100,GB,S,76958,M,0,0.189836079,0.519729373,0.245068968,0.395255458,1,0.505859935,0
2020,SE,FT,Data Engineer,US,100,US,L,188000,H,0,0.557040111,0.519729373,0.261119577,0.745382238,1,0.913960871,1
2020,MI,FT,Data Scientist,US,100,US,L,105000,M,0,0.189836079,0.519729373,0.245068968,0.745382238,1,0.913960871,1
2020,MI,FT,Data Engineer,FR,50,FR,L,70139,L,0,0.189836079,0.519729373,0.261119577,0.285135771,0,0.390688382,1
2020,EN,FT,Data Analyst,IN,0,IN,S,6072,L,0,0,0.519729373,0.21191818,0.170011905,0.625941503,0.160141694,0
2020,EN,FT,Data Analyst,US,100,US,L,91000,M,0,0,0.519729373,0.21191818,0.745382238,1,0.913960871,1
2020,EN,FT,AI Scientist,DK,50,DK,S,45896,L,0,0,0.519729373,0.15197182,0.169655612,0,0.328249729,0
2020,EN,FT,Data Engineer,PK,100,DE,L,54742,L,0,0,0.519729373,0.261119577,0.119708333,1,0.505273978,1
2020,SE,FL,Computer Vision Engineer,RU,100,US,S,60000,L,0,0.557040111,0.098541627,0.097625656,0.519132653,1,0.913960871,0
2020,SE,FT,Principal Data Scientist,DE,100,DE,M,148261,H,0,0.557040111,0.519729373,0.525120507,0.414982993,1,0.505273978,0.915551539
2020,MI,FT,Data Scientist,ES,100,ES,M,38776,L,0,0.189836079,0.519729373,0.245068968,0.273435714,1,0.319610051,0.915551539
2020,MI,FT,Data Scientist,US,100,US,M,118000,M,0,0.189836079,0.519729373,0.245068968,0.745382238,1,0.913960871,0.915551539
2020,SE,FT,Data Scientist,US,50,US,L,120000,M,0,0.557040111,0.519729373,0.245068968,0.745382238,0,0.913960871,1
2020,MI,FT,Data Scientist,US,100,US,M,138350,H,0,0.189836079,0.519729373,0.245068968,0.745382238,1,0.913960871,0.915551539
2020,MI,FT,Data Engineer,US,100,US,L,110000,M,0,0.189836079,0.519729373,0.261119577,0.745382238,1,0.913960871,1
2020,MI,FT,Data Engineer,ES,100,US,M,130800,H,0,0.189836079,0.519729373,0.261119577,0.273435714,1,0.913960871,0.915551539
2020,EN,PT,Data Scientist,IT,50,IT,S,21669,L,0,0,0,0.245068968,0.293877551,0,0.210856678,0
2020,SE,FT,Data Scientist,US,100,US,L,412000,H,0,0.557040111,0.519729373,0.245068968,0.745382238,1,0.913960871,1
2020,SE,FT,Machine Learning Engineer,HR,100,HR,S,45618,L,0,0.557040111,0.519729373,0.239635348,0.212336735,1,0.271127036,0
2020,EN,FT,Data Scientist,DE,50,DE,S,62726,L,0,0,0.519729373,0.245068968,0.414982993,0,0.505273978,0
2020,EN,FT,Data Scientist,DE,0,DE,S,49268,L,0,0,0.519729373,0.245068968,0.414982993,0.625941503,0.505273978,0
2020,SE,FT,Data Science Manager,US,100,US,M,190200,H,0,0.557040111,0.519729373,0.382690051,0.745382238,1,0.913960871,0.915551539
2020,EN,FT,Data Scientist,US,100,US,S,105000,M,0,0,0.519729373,0.245068968,0.745382238,1,0.913960871,0
2020,SE,FT,Data Scientist,AT,0,AT,S,91237,M,0,0.557040111,0.519729373,0.245068968,0.371115646,0.625941503,0.448995114,0
2020,MI,FT,Data Scientist,FR,50,LU,S,62726,L,0,0.189836079,0.519729373,0.245068968,0.285135771,0,0.260212812,0
2020,MI,FT,Data Scientist,FR,50,FR,S,42197,L,0,0.189836079,0.519729373,0.245068968,0.285135771,0,0.390688382,0
2021,EN,FT,Research Scientist,GB,50,GB,L,82528,M,0.132622125,0,0.519729373,0.259291375,0.395255458,0,0.505859935,1
2021,EX,FT,BI Data Analyst,IN,100,US,L,150000,H,0.132622125,1,0.519729373,0.173542864,0.170011905,1,0.913960871,1
2021,EX,FT,Head of Data,US,100,US,L,235000,H,0.132622125,1,0.519729373,0.387279994,0.745382238,1,0.913960871,1
2021,SE,FT,Data Scientist,FR,50,FR,L,53192,L,0.132622125,0.557040111,0.519729373,0.245068968,0.285135771,0,0.390688382,1
2021,MI,FT,BI Data Analyst,US,100,US,M,100000,M,0.132622125,0.189836079,0.519729373,0.173542864,0.745382238,1,0.913960871,0.915551539
2021,MI,PT,3D Computer Vision Researcher,IN,50,IN,M,5409,L,0.132622125,0.189836079,0,0,0.170011905,0,0.160141694,0.915551539
2021,MI,CT,ML Engineer,US,100,US,L,270000,H,0.132622125,0.189836079,1,0.280524336,0.745382238,1,0.913960871,1
2021,EN,FT,Data Analyst,US,100,US,M,80000,M,0.132622125,0,0.519729373,0.21191818,0.745382238,1,0.913960871,0.915551539
2021,SE,FT,Data Analytics Engineer,DE,100,DE,L,79197,M,0.132622125,0.557040111,0.519729373,0.148627597,0.414982993,1,0.505273978,1
2021,MI,FT,Data Engineer,US,100,US,L,140000,H,0.132622125,0.189836079,0.519729373,0.261119577,0.745382238,1,0.913960871,1
2021,MI,FT,Applied Data Scientist,GB,50,CA,L,54238,L,0.132622125,0.189836079,0.519729373,0.426050637,0.395255458,0,0.626201024,1
2021,MI,FT,Machine Learning Engineer,ES,100,ES,S,47282,L,0.132622125,0.189836079,0.519729373,0.239635348,0.273435714,1,0.319610051,0
2021,EX,FT,Director of Data Science,IT,100,PL,L,153667,H,0.132622125,1,0.519729373,0.474647827,0.293877551,1,0.404446254,1
2021,MI,FT,Data Engineer,PL,100,PL,L,28476,L,0.132622125,0.189836079,0.519729373,0.261119577,0.266211735,1,0.404446254,1
2021,EN,FT,Data Analyst,FR,50,FR,M,59102,L,0.132622125,0,0.519729373,0.21191818,0.285135771,0,0.390688382,0.915551539
2021,MI,FT,Data Analytics Engineer,US,100,US,L,110000,M,0.132622125,0.189836079,0.519729373,0.148627597,0.745382238,1,0.913960871,1
